android,genre,review_ratting,size_pro
4.1,3.0,5.0,19.0
4.1,10.0,5.0,2.0
4.1,10.0,4.0,2.0
4.1,10.0,5.0,2.0
4.3,23.0,4.0,2.0
4.3,23.0,3.0,2.0
4.3,23.0,4.0,2.0
4.3,23.0,4.0,2.0
4.3,23.0,5.0,2.0
4.03,24.0,1.0,19.0
4.03,24.0,5.0,19.0
4.03,24.0,5.0,19.0
4.03,24.0,4.0,19.0
4.03,10.0,4.0,18.0
4.03,10.0,5.0,18.0
4.03,10.0,4.0,18.0
4.03,10.0,4.0,18.0
4.03,10.0,5.0,18.0
4.03,24.0,5.0,18.0
4.03,24.0,5.0,18.0
4.03,24.0,5.0,18.0
4.03,24.0,4.0,2.0
4.03,24.0,5.0,2.0
4.03,24.0,5.0,2.0
4.03,24.0,2.0,2.0
4.03,24.0,5.0,2.0
4.03,24.0,5.0,2.0
4.1,3.0,1.0,7.0
4.1,3.0,5.0,7.0
4.1,3.0,5.0,7.0
4.1,3.0,1.0,8.0
4.1,3.0,1.0,8.0
4.1,3.0,1.0,8.0
4.1,3.0,4.0,8.0
4.1,3.0,2.0,8.0
4.03,25.0,5.0,10.0
4.03,25.0,5.0,10.0
4.03,25.0,5.0,10.0
4.03,25.0,5.0,10.0
4.03,25.0,1.0,10.0
4.03,25.0,5.0,10.0
4.03,25.0,4.0,10.0
4.03,25.0,3.0,10.0
4.3,7.0,4.0,17.0
4.3,7.0,1.0,17.0
4.3,7.0,5.0,17.0
4.3,7.0,5.0,17.0
4.3,7.0,4.0,17.0
4.1,10.0,4.0,5.0
4.1,10.0,4.0,5.0
4.1,10.0,3.0,5.0
4.03,17.0,5.0,4.0
4.03,17.0,5.0,4.0
4.03,17.0,4.0,4.0
4.2,8.0,5.0,2.0
4.2,8.0,5.0,2.0
4.2,8.0,5.0,2.0
4.2,11.0,5.0,12.0
4.2,11.0,5.0,12.0
4.2,11.0,5.0,12.0
4.2,11.0,5.0,12.0
4.2,11.0,4.0,12.0
4.2,11.0,5.0,12.0
0.0,11.0,2.0,0.0
0.0,11.0,1.0,0.0
0.0,11.0,1.0,0.0
0.0,11.0,1.0,0.0
0.0,11.0,2.0,0.0
0.0,11.0,5.0,0.0
0.0,11.0,5.0,0.0
0.0,11.0,5.0,0.0
4.4,11.0,2.0,9.0
4.4,11.0,5.0,9.0
4.4,11.0,5.0,9.0
4.4,11.0,3.0,9.0
0.0,12.0,5.0,0.0
0.0,12.0,1.0,0.0
0.0,12.0,1.0,0.0
0.0,12.0,1.0,0.0
0.0,13.0,5.0,0.0
0.0,13.0,5.0,0.0
0.0,13.0,5.0,0.0
0.0,3.0,2.0,0.0
0.0,3.0,1.0,0.0
0.0,3.0,2.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,5.0,0.0
4.1,3.0,3.0,18.0
4.1,3.0,4.0,18.0
4.1,3.0,5.0,18.0
4.1,3.0,3.0,18.0
4.1,3.0,1.0,18.0
0.0,3.0,2.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,5.0,0.0
4.1,3.0,1.0,11.0
4.1,3.0,5.0,11.0
4.1,3.0,1.0,11.0
4.3,3.0,3.0,6.0
4.3,3.0,5.0,6.0
4.3,3.0,1.0,6.0
4.3,3.0,1.0,6.0
4.3,3.0,5.0,6.0
0.0,3.0,5.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,4.0,0.0
0.0,3.0,4.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,5.0,0.0
0.0,4.0,3.0,0.0
0.0,4.0,5.0,0.0
0.0,4.0,4.0,0.0
0.0,4.0,1.0,0.0
4.1,16.0,5.0,15.0
4.1,16.0,3.0,15.0
4.1,16.0,2.0,15.0
4.1,16.0,5.0,15.0
4.1,16.0,5.0,15.0
4.1,16.0,5.0,15.0
4.1,16.0,5.0,15.0
